기능,Method,URL,담당자,설명,완료,카테고리
구글 로그인,POST,/auth/signin,김진현,Google ID 토큰으로 로그인하고 액세스/리프레시 토큰 발급,No,회원
워크스페이스 내역 조회,GET,/workspace,진우 송,워크스페이스 최신순 조회,No,워크스페이스
워크스페이스 내역 날짜 조회,GET,/workspace/calendar,진우 송,월/기간별 활동 요약(레코드/맵 등 집계),No,워크스페이스
로그아웃,POST,/auth/logout,김진현,서버측 refresh 무효화,No,회원
회원 탈퇴,POST,/auth/withdraw,김진현,계정 비활성/삭제(정책따라 soft/hard),No,회원
회원정보 수정,PATCH,/user,김진현,닉네임/프로필이미지 등 부분 수정,No,회원
회원 비밀번호 확인,POST,/auth/verify/password,김진현,민감작업 전 비밀번호 검증(자체계정일 때),No,회원
마인드맵 노드 추가,POST,/mindmap/{workspaceId}/node,한동근,워크스페이스 내 새로운 노드를 생성하는 API,No,마인드맵
워크스페이스 공개 여부 변경,PATCH,/workspace/{workspaceId}/visibility,진우 송,공개/비공개 전환(권한 필요),No,워크스페이스
마인드맵 노드 색 변경,PATCH,/mindmap/{workspaceId}/node/{nodeId}/color,한동근,특정 노드의 색상 속성을 변경하는 API,No,마인드맵
마인드맵 노드 삭제,DELETE,/mindmap/{workspaceId}/node/{nodeId},한동근,특정 노드를 삭제하고 필요한 경우 자식 노드 재연결을 수행하는 API,No,마인드맵
마인드맵 노드 수정,PATCH,/mindmap/{workspaceId}/node/{nodeId},한동근,특정 노드의 내용 또는 속성을 수정하는 API,No,마인드맵
마인드맵 노드 위치 변경,PATCH,/mindmap/{workspaceId}/node/{nodeId}/position,한동근,"특정 노드의 좌표(x, y) 위치를 변경하는 API",No,마인드맵
회원정보 조회,GET,/user,김진현,내 프로필 조회,No,회원
마인드맵 정리하기,PUT,/mindmap/{workspaceId}/clean,"진우 송, 한동근",마인드맵 전체 구조를 AI를 통해 자동 정리하는 API,No,마인드맵
키워드 추천,GET,/mindmap/{workspaceId}/node/{nodeId}/recommend,"진우 송, 한동근",AI를 활용해 현재 노드와 연관된 키워드를 추천하는 API,No,마인드맵
기획안 생성,POST,/mindmap/{workspaceId}/plan,"진우 송, 한동근",마인드맵 내용을 기반으로 자동 기획안을 생성하는 API,No,마인드맵
리프레쉬 토큰 재발급,POST,/auth/reissue,김진현,accessToken 만료 시 재발급,No,회원
마인드맵 복제,POST,/mindmap/{workspaceId},한동근,기존 마인드맵을 복제하여 새 마인드맵을 생성하는 API,No,마인드맵
워크스페이스 멤버 초대,POST,/workspace/{workspaceId}/member,진우 송,워크스페이스에 새로운 사용자를 초대 링크 또는 이메일로 초대하는 API,No,워크스페이스
워크스페이스 멤버 권한 변경,PATCH,/workspace/{workspaceId}/member/{memberId},진우 송,워크스페이스 내 특정 멤버의 역할(권한)을 변경하는 API,No,워크스페이스
워크스페이스 멤버 추가,POST,/workspace/{workspaceId}/member/add,진우 송,워크스페이스에 새로운 멤버를 직접 추가하는 API,No,워크스페이스
트렌드 상위 N개 조회,GET,/trend/top,진우 송,인기 키워드 상위 N개를 조회하는 API,No,트렌드
트렌드 키워드 검색,GET,/trend/search?q={keyword},진우 송,특정 키워드를 검색하여 관련 트렌드 정보를 조회하는 API,No,트렌드
트렌드 키워드 이벤트 기록,POST,/trend/keyword,진우 송,사용자의 키워드 클릭·노출 등의 이벤트를 기록하는 API,No,트렌드
트렌드 자식 키워드 조회,GET,/trend/{nodeId},진우 송,특정 키워드(노드)의 하위 연관 키워드들을 조회하는 API,No,트렌드
마인드맵 조회,GET,/mindmap/{workspaceId}/node/{nodeId},한동근,특정 노드(마인드맵 일부) 정보를 조회하는 API,No,마인드맵
팀 채팅 녹음 저장,POST,voice/room,"진우 송, 한동근",팀 음성 회의 내용을 녹음하고 서버에 저장하는 API,No,음성
워크스페이스 입장,GET,/workspace/{workspaceId},진우 송,상세 + 멤버 역할 포함(입장 판단용),No,워크스페이스
워크스페이스 생성,POST,/workspace,진우 송,새 워크스페이스 생성,No,워크스페이스
워크스페이스 삭제,DELETE,/workspace/{workspaceId},진우 송,"워크스페이스 제거(소유자만, 연관 리소스 정책 주의)",No,워크스페이스
마인드맵 자식노드 조회,GET,/mindmap/{parentId},한동근,특정 부모 노드의 자식 노드 목록을 조회하는 API,No,마인드맵
모바일 음성 저장,POST,/voice/record,"진우 송, 한동근",모바일에서 녹음한 음성을 업로드하여 서버에 저장하는 API,No,음성
모바일 음성 조회,GET,/voice/record,"진우 송, 한동근",저장된 모바일 음성 녹음 목록을 조회하는 API,No,음성
모바일 음성으로 생성한 마인드맵 조회,GET,/voice/record/{recordId}/mindmap,"진우 송, 한동근",특정 음성 녹음으로 생성된 마인드맵 데이터를 조회하는 API,No,음성
